"SITE_REFERENCE","GAS_FLOW_DAY","ENERGY_VALUE"
"SC02",15/12/2019,32.6
"SC02",16/12/2019,28.66
"SC02",17/12/2019,27.69
"SC02",18/12/2019,27.11
"SC02",19/12/2019,24.79
"SC02",20/12/2019,23.83
"SC02",21/12/2019,27.05
"SC02",22/12/2019,26.72
"SC02",23/12/2019,31.8
"SC02",24/12/2019,25.37
"SC02",25/12/2019,35.1
"SC02",26/12/2019,30.91
"SC02",27/12/2019,24.47
"SC02",28/12/2019,22.86
"SC02",29/12/2019,18.35
"SC02",30/12/2019,18.95
"SC02",31/12/2019,23.39
"SC02",01/01/2020,25.63
"SC02",02/01/2020,23.65
"SC02",03/01/2020,29.57
"SC02",04/01/2020,19.76
"SC02",05/01/2020,17.62
"SC02",06/01/2020,20.45
"SC02",07/01/2020,19.17
"SC02",08/01/2020,24.93
"SC02",09/01/2020,32.92
"SC02",10/01/2020,25.18
"SC02",11/01/2020,22.37
"SC02",12/01/2020,27.62
"SC02",13/01/2020,29.62
"SC02",14/01/2020,26.08
"SC02",15/01/2020,24.79
"SC02",16/01/2020,25.82
"SC02",17/01/2020,29.05
"SC02",18/01/2020,27.3
"SC02",19/01/2020,25.31
"SC02",20/01/2020,24.99
"SC02",21/01/2020,17.9
"SC02",22/01/2020,15.98
"SC02",23/01/2020,20.72
"SC02",24/01/2020,22.63
"SC02",25/01/2020,25.18
"SC02",26/01/2020,23.33
"SC02",27/01/2020,28.51
"SC02",28/01/2020,23.39
"SC02",29/01/2020,27.55
"SC02",30/01/2020,22.11
"SC02",31/01/2020,27.62
"SC02",01/02/2020,29.23
"SC02",02/02/2020,24.99
"SC02",03/02/2020,24.99
"SC02",04/02/2020,22.11
"SC02",05/02/2020,23.39
"SC02",06/02/2020,27.16
"SC02",07/02/2020,25.95
"SC02",08/02/2020,24.93
"SC02",09/02/2020,26.78
"SC02",10/02/2020,25.88
"SC02",11/02/2020,31.88
"SC02",12/02/2020,27.98
"SC02",13/02/2020,36.47
"SC02",14/02/2020,30.37
"SC02",15/02/2020,26.64
"SC02",16/02/2020,25.69
"SC02",17/02/2020,24.3
"SC02",18/02/2020,22.78
"SC02",19/02/2020,24.99
"SC02",20/02/2020,24.61
"SC02",21/02/2020,24.93
"SC02",22/02/2020,28.4
